gsc_reason,url,live_result,disposition,action_window,notes
Discovered currently not indexed,https://www.ibrahimuylas.com/uyku-tulumu-nasil-kullanilir/,200,retain,8 August recheck,Substantive evergreen guide
Discovered currently not indexed,https://www.ibrahimuylas.com/yagmurluk-nasil-secilir/,200,retain,8 August recheck,Substantive evergreen guide
Discovered currently not indexed,https://www.ibrahimuylas.com/yuvacik-iznik-trekking/,200,retain,8 August recheck,Substantive first-person route article
Crawled currently not indexed,https://www.ibrahimuylas.com/kaputas-plaji/,200,refresh,monthly refresh queue,Thin destination guide
Crawled currently not indexed,https://www.ibrahimuylas.com/likya-yolu-11-gunde-yurudugum-parkur/,200,retain,20 August review,Canonical multi-day route guide
Crawled currently not indexed,https://www.ibrahimuylas.com/likya-yolu-oludenizden-ucagiza-11-gun-230km/,301 to 200,merge+301,complete,Retired duplicate redirects to canonical route guide
Crawled currently not indexed,https://www.ibrahimuylas.com/tag/dogayuruyusleri/,200,"noindex,follow",complete,Tag archive excluded from sitemap
Crawled currently not indexed,https://www.ibrahimuylas.com/tag/kitap/,200,"noindex,follow",complete,Tag archive excluded from sitemap
Crawled currently not indexed,https://www.ibrahimuylas.com/hayalleri-olanlara-selam-olsun/,200,retain,20 August review,First-person article
Crawled currently not indexed,https://www.ibrahimuylas.com/tag/batinkampyerleri/,200,"noindex,follow",complete,Tag archive excluded from sitemap
Crawled currently not indexed,https://www.ibrahimuylas.com/author/ibrahim-uylas/page/3/,200,"noindex,follow",complete,Author pagination excluded from sitemap
Crawled currently not indexed,https://www.ibrahimuylas.com/tag/kampyerleriverotalar/,200,"noindex,follow",complete,Tag archive excluded from sitemap
Crawled currently not indexed,https://www.ibrahimuylas.com/iskoc-yaylalari-inverness-1.-bolum/,200,retain,20 August review,Substantive first-person travel article
Crawled currently not indexed,https://www.ibrahimuylas.com/category/rotalar/page/9/,200,"noindex,follow",complete,Category pagination excluded from sitemap
Crawled currently not indexed,https://www.ibrahimuylas.com/tag/yuruyusekipmanlari/page/2/,200,"noindex,follow",complete,Tag pagination excluded from sitemap
Crawled currently not indexed,https://www.ibrahimuylas.com/trekking-ayakkabisi-nasil-olmali,301 to 200,intentional redirect,complete,Missing-trailing-slash alias
Crawled currently not indexed,https://www.ibrahimuylas.com/kackar-daglari-anlik-bilinc-kaybi/,200,retain,20 August review,Substantive first-person mountain article
Crawled currently not indexed,https://www.ibrahimuylas.com/lowa-zephyr-gtx-mid-bot-sage,301 to 200,intentional redirect,complete,Missing-trailing-slash alias
Crawled currently not indexed,https://www.ibrahimuylas.com/yalova-fistikli-trekking,301 to 200,intentional redirect,complete,Missing-trailing-slash alias
Crawled currently not indexed,https://www.ibrahimuylas.com/doga-yuruyusunun-faydalari-nelerdir,301 to 200,intentional redirect,complete,Missing-trailing-slash alias
Crawled currently not indexed,https://www.ibrahimuylas.com/ya-kampta-biri-kaybolursa/,200,retain,20 August review,Substantive first-person safety article
Crawled currently not indexed,https://www.ibrahimuylas.com/tag/sinopkampyerleri/,200,"noindex,follow",complete,Tag archive excluded from sitemap
Crawled currently not indexed,https://www.ibrahimuylas.com/tag/yolhikayeleri/page/7/,200,"noindex,follow",complete,Tag pagination excluded from sitemap
Server error 5xx,https://www.ibrahimuylas.com/menekse-subatimi-yaylasi-kampi/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/sile-sakligol/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/2-seconds-easy-3-kamp-cadiri/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/likya-parkuru-sirt-cantam/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/inonu-yaylasindan-aytepeye-trekking/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/likya-yolu-rotasi-kinikdan-uzumluye/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/serindere-kanyonu-kamp-alani/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/uyku-tulumu-alirken-nelere-dikkat-edilmelidir,301 to 200,historical error,validation active,Canonical trailing-slash redirect; do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/papaz-cayiri/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/category/diger-her-sey/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/iskoc-yaylalari-nc500-rotasi-4.-bolum/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/author/ibrahim-uylas/,200,historical error,validation active,Live noindex author page; do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/esenkoy-delmece-yaylasi-narli-trekking/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/likya-yolu-rotasi-gokceorenden-kasa/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/suluklu-gol-azrail-teget-gecti,301 to 200,historical error,validation active,Canonical trailing-slash redirect; do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/uyku-tulumu-alirken-nelere-dikkat-edilmelidir/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/likya-yolu-rotasi-kormen-adasindan-kaleucagiza/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/dag-basinda-bekle-geliyorum/,200,historical error,validation active,Do not restart validation
Server error 5xx,https://www.ibrahimuylas.com/trabzon-uzungol/,200,historical error,validation active,Do not restart validation
